Serial,Customer No,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,Profession,Salary,post_21_july_unit,post_21_august_unit,post_21_sep_unit,post_21_oct_unit,post_21_nov_unit,post_21_dec_unit,post_22_jan_unit,post_22_feb_unit,post_22_mar_unit,post_22_april_unit,post_22_may_unit,post_22_june_unit,pre_22_apr_unit,pre_22_may_unit,pre_22_june_unit,pre_22_july_unit,pre_22_aug_unit,pre_22_sep_unit,pre_22_oct_unit,pre_22_nov_unit,pre_22_dec_unit,pre_23_jan_unit,pre_23_feb_unit,pre_23_mar_unit,pre_23_apr_unit,pre_23_may_unit,pre_23_june_unit,pre_23_jul_unit,pre_23_aug_unit,pre_23_sep_unit,pre_23_oct_unit,pre_23_nov_unit,pre_23_dec_unit
1.0,17704104.0,5.0,5.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,,,241.0,229.0,246.0,216.0,165.0,128.0,152.0,143.0,217.0,184.0,,,0.0,280.87,273.57,250.96,260.05,238.89,216.24,181.63,171.77,168.88,147.67,214.4,243.06,237.66,234.95,243.86,246.42,242.3,235.02,190.16,250.0
2.0,17704119.0,5.0,4.0,5.0,10.0,2.0,1.0,0.0,1.0,0.0,1,1,0.0,Businessman,,396.0,372.0,397.0,323.0,295.0,226.0,189.0,201.0,307.0,257.0,,,0.0,106.99,359.32,341.41,643.07,255.26,235.94,237.01,262.99,226.83,211.88,239.07,310.98,275.79,326.53,333.01,280.32,292.97,264.56,224.23,235.6
3.0,16191493.0,3.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,Nurse,,211.0,213.0,215.0,212.0,149.0,122.0,109.0,92.0,161.0,208.0,,,0.0,48.28,396.27,229.57,231.8,217.37,193.85,138.7,106.56,16.86,2.2,29.56,76.98,133.51,161.49,162.09,154.12,182.54,176.97,129.48,67.53
4.0,16191440.0,4.0,4.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,Service,,512.0,665.0,632.0,496.0,237.0,192.0,178.0,155.0,230.0,578.0,,,0.0,419.87,511.29,345.18,525.51,450.2,387.53,328.3,188.39,196.83,254.34,360.11,466.56,508.56,492.02,450.38,544.06,45.22,30.8,132.67,51.7
5.0,17779252.0,4.0,3.0,4.0,9.0,2.0,0.0,0.0,1.0,0.0,1,0,0.0,Businessman,,83.0,91.0,112.0,179.0,61.0,33.0,34.0,31.0,76.0,23.0,,,142.97,391.86,189.26,141.44,181.28,144.3,110.02,84.36,55.76,52.01,64.15,111.37,184.1,166.72,206.71,204.02,206.14,190.54,178.58,110.21,78.19
6.0,17779303.0,3.0,2.0,3.0,7.0,1.0,1.0,0.0,1.0,0.0,1,1,0.0,Freelancer,35000.0,88.0,104.0,119.0,112.0,120.0,107.0,85.0,101.0,146.0,35.0,,,0.0,238.51,67.8,118.23,76.0,80.44,120.67,89.26,43.59,33.17,40.66,91.37,49.2,101.47,145.83,126.76,86.99,114.7,137.53,86.01,33.97
7.0,17779407.0,3.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,Doctor,,19.0,124.0,136.0,138.0,79.0,54.0,64.0,59.0,108.0,31.0,,,0.0,106.43,236.42,175.98,145.97,133.3,125.84,122.18,95.27,91.17,85.58,120.26,145.2,135.2,176.38,181.1,167.57,176.57,161.59,155.18,108.03
8.0,17779271.0,3.0,5.0,4.0,7.0,2.0,0.0,1.0,0.0,0.0,1,1,0.0,Retired,20000.0,212.0,247.0,294.0,255.0,155.0,122.0,157.0,116.0,259.0,67.0,,,193.6,229.78,233.56,178.93,267.72,229.88,244.85,188.06,124.06,126.64,75.65,147.59,88.86,217.56,182.44,170.36,131.41,158.34,119.28,117.86,125.33
9.0,17802369.0,3.0,8.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,Job,,242.0,270.0,298.0,227.0,159.0,90.0,75.0,84.0,186.0,212.0,167.0,,,0.0,286.88,221.3,234.63,210.92,177.82,181.37,104.39,77.18,100.54,163.44,186.49,205.86,202.53,213.52,212.51,219.37,243.92,196.42,118.37
10.0,17802335.0,4.0,4.0,5.0,9.0,2.0,1.0,1.0,2.0,0.0,1,1,0.0,Retired,,440.0,497.0,538.0,424.0,289.0,224.0,210.0,242.0,309.0,412.0,433.0,,,0.0,514.3,558.88,514.03,513.54,428.33,280.11,243.59,224.62,216.73,273.31,453.17,481.34,585.93,620.69,553.97,561.03,444.14,355.36,278.02
11.0,17802301.0,4.0,5.0,5.0,12.0,1.0,1.0,0.0,1.0,1.0,0,1,1.0,Businessman,,532.0,545.0,734.0,555.0,340.0,217.0,221.0,207.0,379.0,490.0,353.0,,,0.0,552.03,367.01,512.76,517.63,404.8,317.2,216.56,134.64,233.44,341.14,492.0,549.74,604.84,545.9,439.87,533.68,425.54,294.57,195.81
12.0,16266944.0,3.0,4.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,Service,,156.0,133.0,190.0,149.0,101.0,78.0,75.0,81.0,134.0,141.0,113.0,,,0.0,181.99,152.59,208.67,147.36,117.98,103.67,75.04,78.77,82.18,132.87,119.91,162.15,153.07,154.28,152.54,151.72,154.48,166.25,138.84
13.0,17802341.0,3.0,10.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,Service,,217.0,241.0,365.0,330.0,198.0,93.0,75.0,93.0,280.0,278.0,216.0,,,0.0,391.94,258.05,366.92,384.23,301.05,264.46,148.76,116.71,128.49,259.39,270.32,289.25,331.43,404.18,439.47,423.84,411.4,319.5,182.89
14.0,17802373.0,3.0,9.0,6.0,9.0,2.0,0.0,0.0,1.0,0.0,1,0,0.0,Businessman,,399.0,375.0,415.0,250.0,200.0,75.0,70.0,76.0,228.0,246.0,250.0,,,0.0,329.47,258.33,295.81,282.48,247.74,206.96,123.83,84.48,120.02,204.54,228.0,332.8,495.99,458.06,413.94,560.2,341.02,263.57,147.39
15.0,17802320.0,3.0,4.0,5.0,14.0,2.0,0.0,0.0,2.0,1.0,2,2,0.0,Service,,482.0,489.0,598.0,528.0,341.0,214.0,187.0,228.0,426.0,423.0,404.0,,,0.0,492.15,483.89,486.25,465.32,418.25,315.22,229.49,170.16,194.96,344.79,516.57,444.86,532.99,504.33,456.41,404.28,353.69,322.12,252.99
16.0,17802388.0,3.0,5.0,6.0,11.0,2.0,0.0,0.0,1.0,0.0,1,0,0.0,Businessman,,316.0,366.0,394.0,318.0,224.0,143.0,143.0,150.0,303.0,335.0,316.0,,,0.0,435.23,416.58,408.38,353.83,336.49,246.52,163.52,128.03,160.63,272.64,430.66,370.71,393.27,420.22,399.56,380.68,332.08,283.32,195.78
17.0,17764771.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,Student,,64.0,80.0,84.0,85.0,59.0,41.0,60.0,66.0,87.0,81.0,42.0,,,133.75,221.42,253.76,278.37,255.72,224.71,203.23,107.73,99.83,141.69,213.7,157.28,208.78,130.79,187.05,241.94,226.55,238.37,160.64,116.79
18.0,17764767.0,4.0,3.0,3.0,10.0,1.0,0.0,0.0,1.0,0.0,0,1,0.0,Businessman,,205.0,226.0,245.0,199.0,149.0,118.0,104.0,118.0,183.0,172.0,85.0,,,97.19,169.25,238.6,235.79,258.88,232.09,165.54,136.52,113.47,140.72,198.62,388.08,279.66,238.67,301.52,274.17,270.67,183.24,138.52,103.19
19.0,17764856.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,Job,,243.0,250.0,272.0,355.0,211.0,174.0,189.0,217.0,283.0,236.0,120.0,,,209.04,320.36,304.1,359.55,350.85,305.33,280.89,265.91,226.24,216.65,247.69,204.81,224.0,289.99,261.46,212.81,271.63,172.03,126.59,110.83
20.0,16160781.0,4.0,3.0,4.0,7.0,1.0,1.0,1.0,0.0,1.0,1,0,0.0,Private Service,,64.0,170.0,162.0,180.0,129.0,164.0,299.0,284.0,229.0,239.0,96.0,0.0,0.0,,155.94,445.83,249.21,242.06,213.32,200.94,264.69,328.8,184.57,212.69,232.61,254.28,283.64,294.97,197.1,181.43,194.87,132.84,119.8
21.0,17764697.0,3.0,6.0,4.0,7.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,Service,,288.0,332.0,353.0,302.0,229.0,152.0,139.0,166.0,261.0,321.0,147.0,,,222.66,316.0,331.24,302.27,264.45,183.94,121.41,99.94,67.07,83.01,148.19,220.55,286.37,304.19,278.69,287.84,324.08,262.42,140.43,96.64
22.0,17659482.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,169.0,239.0,259.0,328.0,292.0,305.0,268.0,248.0,312.0,305.0,368.0,226.0,,,94.75,300.23,324.4,291.84,316.56,321.67,291.56,272.83,282.03,335.68,274.24,337.05,360.85,337.9,317.7,308.62,314.62,278.94,275.93
23.0,17659478.0,3.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,,,245.0,275.0,228.0,271.0,156.0,100.0,71.0,66.0,168.0,206.0,251.0,167.0,,,62.01,217.06,209.36,198.36,175.35,145.62,103.44,61.26,78.61,154.17,169.16,176.27,193.45,218.57,211.43,200.96,208.78,163.38,111.21
24.0,17659459.0,4.0,4.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0,,,429.0,477.0,479.0,441.0,166.0,118.0,87.0,93.0,297.0,434.0,571.0,348.0,,,125.63,601.0,619.9,446.91,375.19,147.91,95.07,71.76,89.5,143.46,600.63,542.47,709.03,571.66,513.98,515.22,339.61,182.78,100.0
25.0,17659444.0,4.0,4.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,1,1,0.0,,,304.0,324.0,287.0,302.0,207.0,167.0,153.0,157.0,242.0,265.0,323.0,210.0,,,60.11,228.73,266.69,257.25,236.67,196.99,159.95,155.21,154.66,204.55,255.65,249.72,269.59,300.47,316.35,282.12,273.94,243.48,201.71
26.0,17337410.0,3.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,Business,15000.0,607.0,650.0,633.0,534.0,364.0,144.0,124.0,106.0,356.0,533.0,0.0,0.0,,0.0,,,1608.84,382.72,,824.15,236.46,148.47,217.72,436.46,613.93,196.74,140.41,255.15,59.58,230.67,132.76,335.4,140.55
27.0,17718284.0,6.0,5.0,8.0,28.0,3.0,1.0,1.0,3.0,1.0,3,2,1.0,Private job,200000.0,620.0,659.0,728.0,703.0,476.0,300.0,307.0,110.0,,,,,689.49,503.3,698.96,789.59,768.75,663.37,520.24,327.58,318.89,354.48,295.39,349.21,553.9,674.01,959.63,721.05,772.56,663.06,503.77,333.82,264.43
28.0,17718481.0,5.0,5.0,4.0,7.0,1.0,1.0,0.0,2.0,0.0,1,1,0.0,public service,,446.0,415.0,505.0,350.0,311.0,160.0,194.0,52.0,,,,,424.5,409.52,413.48,417.74,488.68,371.34,280.85,216.58,202.1,163.19,190.9,284.44,511.99,475.13,567.96,521.58,468.3,452.62,426.56,262.07,194.11
