Serial,Customer No,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,Profession,Salary,post_21_july_unit,post_21_august_unit,post_21_sep_unit,post_21_oct_unit,post_21_nov_unit,post_21_dec_unit,post_22_jan_unit,post_22_feb_unit,post_22_mar_unit,post_22_april_unit,post_22_may_unit,post_22_june_unit,pre_22_apr_unit,pre_22_may_unit,pre_22_june_unit,pre_22_july_unit,pre_22_aug_unit,pre_22_sep_unit,pre_22_oct_unit,pre_22_nov_unit,pre_22_dec_unit,pre_23_jan_unit,pre_23_feb_unit,pre_23_mar_unit,pre_23_apr_unit,pre_23_may_unit,pre_23_june_unit,pre_23_jul_unit,pre_23_aug_unit,pre_23_sep_unit,pre_23_oct_unit,pre_23_nov_unit,pre_23_dec_unit,,
1,17704104,5,5,5,8,1,0,0,0,0,1,0,0,,,241,229,246,216,165,128,152,143,217,184,190,,0,280.87,273.57,250.96,260.05,238.89,216.24,181.63,171.77,168.88,147.67,214.4,243.06,237.66,234.95,243.86,246.42,242.3,235.02,190.16,250,,
2,17704119,5,4,5,10,2,1,0,1,0,1,1,0,Businessman,,396,372,397,323,295,226,189,201,307,257,238,,0,106.99,359.32,341.41,643.07,255.26,235.94,237.01,262.99,226.83,211.88,239.07,310.98,275.79,326.53,333.01,280.32,292.97,264.56,224.23,235.6,,
3,16191493,3,4,3,5,1,0,0,0,0,0,1,0,Nurse,,211,213,215,212,149,122,109,92,161,208,101,,0,48.28,396.27,229.57,231.8,217.37,193.85,138.7,106.56,16.86,16.3,29.56,76.98,133.51,161.49,162.09,154.12,182.54,176.97,129.48,67.53,,
4,16191440,4,4,3,9,1,0,0,0,0,1,1,0,Service,,512,665,632,496,237,192,178,155,230,578,620,,0,419.87,511.29,345.18,525.51,450.2,387.53,328.3,188.39,196.83,254.34,360.11,466.56,508.56,492.02,450.38,544.06,45.22,30.8,132.67,51.7,,
5,17779252,4,3,4,9,2,0,0,1,0,1,0,0,Businessman,,83,91,112,179,61,33,34,31,76,23,55,,142.97,391.86,189.26,141.44,181.28,144.3,110.02,84.36,55.76,52.01,64.15,111.37,184.1,166.72,206.71,204.02,206.14,190.54,178.58,110.21,78.19,,
6,17779303,3,2,3,7,1,1,0,1,0,1,1,0,Freelancer,35000,88,104,119,112,120,107,85,101,146,35,70,,0,238.51,67.8,118.23,76.0453,80.44,120.67,89.26,43.59,33.17,40.66,91.37,49.2,101.47,145.83,126.76,86.99,114.7,137.53,86.01,33.97,,
7,17779407,3,3,3,6,1,0,0,0,0,1,1,0,Doctor,,19,124,136,138,79,54,64,59,108,31,44,,0,106.43,236.42,175.98,145.97,133.3,125.84,122.18,95.27,91.17,85.58,120.26,145.2,135.2,176.38,181.1,167.57,176.57,161.59,155.18,108.03,,
8,17779271,3,5,4,7,2,0,1,0,0,1,1,0,Retired,20000,212,247,294,255,155,122,157,116,259,67,115,,193.6,229.78,233.56,178.93,267.72,229.88,244.85,188.06,124.06,126.64,75.65,147.59,88.86,217.56,182.44,170.36,131.41,158.34,119.28,117.86,125.33,,
9,17802369,3,8,3,5,1,0,0,0,0,0,0,0,Job,,242,270,298,227,159,90,75,84,186,212,167,,,0,286.88,221.3,234.63,210.92,177.82,181.37,104.39,77.18,100.54,163.44,186.49,205.86,202.53,213.52,212.51,219.37,243.92,196.42,118.37,,
10,17802335,4,4,5,9,2,1,1,2,0,1,1,0,Retired,,440,497,538,424,289,224,210,242,309,412,433,,,0,514.3,558.88,514.03,513.54,428.33,280.11,243.59,224.62,216.73,273.31,453.17,481.34,585.93,620.69,553.97,561.03,444.14,355.36,278.02,,
12,16266944,3,4,4,9,1,0,0,0,0,1,1,0,Service,,156,133,190,149,101,78,75,81,134,141,113,,,0,181.99,152.59,208.67,147.36,117.98,103.67,75.04,78.77,82.18,132.87,119.91,162.15,153.07,154.28,152.54,151.72,154.48,166.25,138.84,,
13,17802341,3,10,5,8,1,0,0,0,0,0,0,0,Service,,217,241,365,330,198,93,75,93,280,278,216,,,0,391.94,258.05,366.92,384.23,301.05,264.46,148.76,116.71,128.49,259.39,270.32,289.25,331.43,404.18,439.47,423.84,411.4,319.5,182.89,,
14,17802373,3,9,6,9,2,0,0,1,0,1,0,0,Businessman,,399,375,415,250,200,75,70,76,228,246,250,,,0,329.47,258.33,295.81,282.48,247.74,206.96,123.83,84.48,120.02,204.54,228,332.8,495.99,458.06,413.94,560.2,341.02,263.57,147.39,,
15,17802320,3,4,5,14,2,0,0,2,1,2,2,0,Service,,482,489,598,528,341,214,187,228,426,423,404,,,0,492.15,483.89,486.25,465.32,418.25,315.22,229.49,170.16,194.96,344.79,516.57,444.86,532.99,504.33,456.41,404.28,353.69,322.12,252.99,,
16,17802388,3,5,6,11,2,0,0,1,0,1,0,0,Businessman,,316,366,394,318,224,143,143,150,303,335,316,,,0,435.23,416.58,408.38,353.83,336.49,246.52,163.52,128.03,160.63,272.64,430.66,370.71,393.27,420.22,399.56,380.68,332.08,283.32,195.78,,
17,17764771,3,3,3,3,1,0,0,0,0,0,0,0,Student,,64,80,84,85,59,41,60,66,87,81,42,,,133.75,221.42,253.76,278.37,255.72,224.71,203.23,107.73,99.83,141.69,213.7,157.28,208.78,130.79,187.05,241.94,226.55,238.37,160.64,116.79,,
18,17764767,4,3,3,10,1,0,0,1,0,0,1,0,Businessman,,205,226,245,199,149,118,104,118,183,172,85,,,97.19,169.25,238.6,235.79,258.88,232.09,165.54,136.52,113.47,140.72,198.62,388.08,279.66,238.67,301.52,274.17,270.67,183.24,138.52,103.19,,
19,17764856,4,6,3,4,1,0,0,0,0,1,1,0,Job,,243,250,272,355,211,174,189,217,283,236,120,,,209.04,320.36,304.1,359.55,350.85,305.33,280.89,265.91,226.24,216.65,247.69,204.81,224,289.99,261.46,212.81,271.63,172.03,126.59,110.83,,
20,16160781,4,3,4,7,1,1,1,0,1,1,0,0,Private Service,,64,170,162,180,129,164,299,284,229,239,96,0,0,,155.94,445.83,249.21,242.06,213.32,200.94,264.69,328.8,184.57,212.69,232.61,254.28,283.64,294.97,197.1,181.43,194.87,132.84,119.8,,
21,17764697,3,6,4,7,1,0,0,1,0,1,0,0,Service,,288,332,353,302,229,152,139,166,261,321,147,,,222.66,316,331.24,302.27,264.45,183.94,121.41,99.94,67.07,83.01,148.19,220.55,286.37,304.19,278.69,287.84,324.08,262.42,140.43,96.64,,
